"","curso","atividade_remunerada","tipo_atividade_remunerada","ingere_alcool","se_fornao_ja_ingeriu","bebe_onde","sintomas","frequencia","ja_teve_problemas","gasto_mensal","ja_tentou_parar","o_que_leva_a_beber"
"1","Ciência da Computação","Sim","Estágio","Não","Sim","Casa, Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"2","Matemática","Sim","Bolsista","Sim","","Casa, Bares, Outros ambientes","Ressaca, Amnésia alcóolica","Nenhuma vez","Sim","50 a 100 reais","Sim, e consegui","Prazer "
"3","Química","Sim","Bolsista","Sim","","Festas Universitárias","Ressaca, Vômito","Zero a uma vez","Não","0 a 20 reais","Não bebo",""
"4","Química","Sim","Trabalho Integral (CLT)","Sim","","Casa, Bares, Festas Universitárias, Outros ambientes","Ressaca, Vômito","Zero a uma vez","Sim","Mais de 100 reais","Sim, e consegui","Meu trabalho, pois sou cervejeiro e trabalho tenho que provar as cervejas que faço "
"5","Matemática","Sim","Bolsista","Não","Sim","Bares, Outros ambientes","Não bebo","Zero a uma vez","Nunca tive","0 a 20 reais","Não bebo",""
"6","Matemática","Sim","Estágio","Sim","","Casa","Nunca tive nenhum sintoma","Zero a uma vez","Nunca tive","0 a 20 reais","Não bebo","Comemorações "
"7","Ciência da Computação","Não","Não realizo","Sim","","Casa, Festas Universitárias, Outros ambientes","Nunca tive nenhum sintoma","Zero a uma vez","Nunca tive","0 a 20 reais","Sim, e consegui","Socializar"
"8","Matemática","Sim","Bolsista","Sim","","Bares, Festas Universitárias, Outros ambientes","Ressaca, Vômito","Zero a uma vez","Não","0 a 20 reais","","Diversão "
"9","Matemática","Sim","Trabalho Integral (CLT)","Sim","","Casa","Ressaca, Vômito, Amnésia alcóolica","Zero a uma vez","Sim","50 a 100 reais","Sim, e consegui","Churrasco em família, comemorar algo..."
"10","Química","Não","Não realizo","Sim","","Casa","Nunca tive nenhum sintoma","Zero a uma vez","Nunca tive","Não bebo","Não bebo","Gosto do sabor doce de uma marca específica de pinga"
"11","Química","Sim","Bolsista","Sim","","Casa, Bares, Festas Universitárias, Outros ambientes","Ressaca, Vômito, Amnésia alcóolica","Mais de duas vezes","Não","50 a 100 reais","Sim, mas sem sucesso","Eu bebo porque gosto, não uso como muleta, mas é algo que se estou distraído, num fim de semana numa confraternização ou sozinho em casa e sei que isso não vai atrapalhar afazeres futuros, eu bebo"
"12","Informática","Sim","Bolsista","Sim","","Bares, Festas Universitárias, Outros ambientes","Ressaca, Vômito, Amnésia alcóolica, Desmaio","Zero a uma vez","Não","0 a 20 reais","",""
"13","Informática","Não","Não realizo","Sim","","Casa, Bares","Ressaca, Vômito, Amnésia alcóolica","Zero a uma vez","Não","20 a 50 reais","Sim, e consegui","Beber socialmente com amigos"
"14","Estatística","Não","Não realizo","Sim","","Casa, Bares, Festas Universitárias, Outros ambientes","Vômito, Amnésia alcóolica","Uma a duas vezes","Nunca tive","50 a 100 reais","Sim, e consegui","sensação "
"15","Estatística","Não","Não realizo","Sim","","Casa, Bares, Festas Universitárias","Nunca tive nenhum sintoma","Zero a uma vez","Nunca tive","20 a 50 reais","Sim, e consegui","A sensação "
"16","Matemática","Sim","Trabalho Integral (CLT)","Sim","","Casa, Bares","Ressaca, Vômito, Amnésia alcóolica","Zero a uma vez","Não","20 a 50 reais","Sim, e consegui",""
"17","Química","Não","Não realizo","Não","Não","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"18","Informática","Sim","Estágio","Sim","Sim","Festas Universitárias","Nunca tive nenhum sintoma","Zero a uma vez","Nunca tive","0 a 20 reais","Sim, e consegui","Costumo beber apenas em festas universitárias, sendo assim, so bebo para me sintir mais a vontade de modo que posso curtir mais a festa."
"19","Ciência da Computação","Sim","Bolsista","Sim","","Festas Universitárias","Ressaca, Vômito, Amnésia alcóolica","Zero a uma vez","Sim","20 a 50 reais","Sim, e consegui","situações sociais, como em festas universitarias"
"20","Informática","Não","Não realizo","Sim","","Bares, Festas Universitárias","Ressaca, Vômito, Amnésia alcóolica","Zero a uma vez","Não","0 a 20 reais","Sim, e consegui","O ambiente, as pessoas, psicológico abalado, sensação de embriaguez..."
