"odor","anexacao_lamelas","espacamento_lamelas","tamanho_lamelas","cor_lamelas","forma_caule","venenoso"
"pungente","livres","proximas","estreitas","preto","alargando","venenoso"
"amendoa","livres","proximas","largas","preto","alargando","comestivel"
"anis","livres","proximas","largas","marrom","alargando","comestivel"
"pungente","livres","proximas","estreitas","marrom","alargando","venenoso"
"sem_odor","livres","aglomeradas","largas","preto","afunilando","comestivel"
"amendoa","livres","proximas","largas","marrom","alargando","comestivel"
"amendoa","livres","proximas","largas","cinza","alargando","comestivel"
"anis","livres","proximas","largas","marrom","alargando","comestivel"
"pungente","livres","proximas","estreitas","rosa","alargando","venenoso"
"amendoa","livres","proximas","largas","cinza","alargando","comestivel"
"anis","livres","proximas","largas","cinza","alargando","comestivel"
"amendoa","livres","proximas","largas","marrom","alargando","comestivel"
"amendoa","livres","proximas","largas","branco","alargando","comestivel"
"pungente","livres","proximas","estreitas","preto","alargando","venenoso"
"sem_odor","livres","aglomeradas","largas","marrom","afunilando","comestivel"
"sem_odor","livres","proximas","estreitas","preto","alargando","comestivel"
"sem_odor","livres","aglomeradas","largas","preto","afunilando","comestivel"
"pungente","livres","proximas","estreitas","marrom","alargando","venenoso"
"pungente","livres","proximas","estreitas","marrom","alargando","venenoso"
"pungente","livres","proximas","estreitas","preto","alargando","venenoso"
"amendoa","livres","proximas","largas","preto","alargando","comestivel"
"pungente","livres","proximas","estreitas","marrom","alargando","venenoso"
"anis","livres","proximas","largas","preto","alargando","comestivel"
"amendoa","livres","proximas","largas","branco","alargando","comestivel"
"anis","livres","proximas","largas","cinza","alargando","comestivel"
"pungente","livres","proximas","estreitas","marrom","alargando","venenoso"
"amendoa","livres","proximas","largas","marrom","alargando","comestivel"
"anis","livres","proximas","largas","branco","alargando","comestivel"
"sem_odor","livres","proximas","estreitas","preto","alargando","comestivel"
"amendoa","livres","aglomeradas","estreitas","marrom","afunilando","comestivel"
"anis","livres","proximas","largas","cinza","alargando","comestivel"
"pungente","livres","proximas","estreitas","preto","alargando","venenoso"
"anis","livres","proximas","largas","marrom","alargando","comestivel"
"anis","livres","proximas","largas","rosa","alargando","comestivel"
